Model,Train Size,Train Frac,Val Macro F1,Train Time (s),Infer Speed (samples/s),GPU Mem (MB),Parameters
Baseline (CountVec+LogReg),690,0.25,0.1752466693337915,36.212178230285645,3420.7245047515485,0.0,573309
UniGRU (attention),690,0.25,0.15195499632536735,2.921306610107422,15049.216929180946,287.7666015625,2886282
UniLSTM (attention),690,0.25,0.16378593387221388,2.9462881088256836,15500.263830197471,279.82373046875,3116682
BERT (bert-base-uncased),690,0.25,0.18611609419661854,36.96844029426575,1190.8414239881693,2593.2763671875,109489161
Baseline (CountVec+LogReg),1379,0.5,0.199009184877324,50.52319073677063,3430.28099416487,0.0,975555
UniGRU (attention),1379,0.5,0.17662523447921802,5.901358604431152,15245.586893536321,289.69921875,3253770
UniLSTM (attention),1379,0.5,0.14375508772787843,6.115293502807617,14825.037830084779,286.8603515625,3484170
BERT (bert-base-uncased),1379,0.5,0.2642215634986761,74.4076714515686,1171.600884792388,2600.072265625,109489161
Baseline (CountVec+LogReg),2068,0.75,0.250635137646255,65.4840943813324,3207.8273534399627,0.0,1233486
UniGRU (attention),2068,0.75,0.2057797464109006,9.103514671325684,15442.286299703328,293.71484375,3253770
UniLSTM (attention),2068,0.75,0.23412396123892126,9.228869438171387,15537.21142231313,286.4921875,3484170
BERT (bert-base-uncased),2068,0.75,0.29984583434824214,111.92421793937683,1185.1979793967266,2599.2509765625,109489161
Baseline (CountVec+LogReg),2758,1.0,0.2823242835129927,87.03448748588562,3972.1459090216595,0.0,1422540
UniGRU (attention),2758,1.0,0.2398577523105738,12.073558568954468,15067.708087113619,291.8515625,3253770
UniLSTM (attention),2758,1.0,0.2526456836393796,12.284680604934692,15736.42268730731,286.8603515625,3484170
BERT (bert-base-uncased),2758,1.0,0.32342652918287496,149.20849013328552,1183.014931217965,2599.291015625,109489161
